county_name,state_name,year,area_deprivation_index_percent,Full_Name,EstimateGiniIndex_2020
Autauga County,Alabama,2020,29,"Autauga County, Alabama",0.4602
Baldwin County,Alabama,2020,16,"Baldwin County, Alabama",0.4609
Barbour County,Alabama,2020,96,"Barbour County, Alabama",0.4731
Bibb County,Alabama,2020,69,"Bibb County, Alabama",0.4294
Blount County,Alabama,2020,61,"Blount County, Alabama",0.4331
Bullock County,Alabama,2020,98,"Bullock County, Alabama",0.5174
Butler County,Alabama,2020,86,"Butler County, Alabama",0.4708
Calhoun County,Alabama,2020,71,"Calhoun County, Alabama",0.4676
Chambers County,Alabama,2020,78,"Chambers County, Alabama",0.4568
Cherokee County,Alabama,2020,71,"Cherokee County, Alabama",0.4539
Chilton County,Alabama,2020,78,"Chilton County, Alabama",0.4845
Choctaw County,Alabama,2020,90,"Choctaw County, Alabama",0.4809
Clarke County,Alabama,2020,94,"Clarke County, Alabama",0.5185
Clay County,Alabama,2020,89,"Clay County, Alabama",0.4684
Cleburne County,Alabama,2020,75,"Cleburne County, Alabama",0.4622
Coffee County,Alabama,2020,53,"Coffee County, Alabama",0.4427
Colbert County,Alabama,2020,61,"Colbert County, Alabama",0.4496
Conecuh County,Alabama,2020,92,"Conecuh County, Alabama",0.4354
Coosa County,Alabama,2020,70,"Coosa County, Alabama",0.4646
Covington County,Alabama,2020,76,"Covington County, Alabama",0.4553
Crenshaw County,Alabama,2020,77,"Crenshaw County, Alabama",0.504
Cullman County,Alabama,2020,64,"Cullman County, Alabama",0.4548
Dale County,Alabama,2020,70,"Dale County, Alabama",0.45
Dallas County,Alabama,2020,97,"Dallas County, Alabama",0.4885
DeKalb County,Alabama,2020,91,"DeKalb County, Alabama",0.4748
Elmore County,Alabama,2020,30,"Elmore County, Alabama",0.4359
Escambia County,Alabama,2020,91,"Escambia County, Alabama",0.4823
Etowah County,Alabama,2020,66,"Etowah County, Alabama",0.4483
Fayette County,Alabama,2020,81,"Fayette County, Alabama",0.4635
Franklin County,Alabama,2020,90,"Franklin County, Alabama",0.4224
Geneva County,Alabama,2020,87,"Geneva County, Alabama",0.4413
Greene County,Alabama,2020,99,"Greene County, Alabama",0.5041
Hale County,Alabama,2020,93,"Hale County, Alabama",0.5071
Henry County,Alabama,2020,62,"Henry County, Alabama",0.435
Houston County,Alabama,2020,62,"Houston County, Alabama",0.4808
Jackson County,Alabama,2020,81,"Jackson County, Alabama",0.4616
Jefferson County,Alabama,2020,44,"Jefferson County, Alabama",0.4996
Lamar County,Alabama,2020,84,"Lamar County, Alabama",0.4623
Lauderdale County,Alabama,2020,51,"Lauderdale County, Alabama",0.4672
Lawrence County,Alabama,2020,75,"Lawrence County, Alabama",0.4389
Lee County,Alabama,2020,49,"Lee County, Alabama",0.5081
Limestone County,Alabama,2020,44,"Limestone County, Alabama",0.4509
Lowndes County,Alabama,2020,97,"Lowndes County, Alabama",0.4999
Macon County,Alabama,2020,92,"Macon County, Alabama",0.5145
Madison County,Alabama,2020,17,"Madison County, Alabama",0.4673
Marengo County,Alabama,2020,85,"Marengo County, Alabama",0.5386
Marion County,Alabama,2020,82,"Marion County, Alabama",0.4596
Marshall County,Alabama,2020,78,"Marshall County, Alabama",0.4805
Mobile County,Alabama,2020,61,"Mobile County, Alabama",0.4765
Monroe County,Alabama,2020,97,"Monroe County, Alabama",0.5477
Montgomery County,Alabama,2020,67,"Montgomery County, Alabama",0.4929
Morgan County,Alabama,2020,60,"Morgan County, Alabama",0.4511
Perry County,Alabama,2020,99,"Perry County, Alabama",0.479
Pickens County,Alabama,2020,84,"Pickens County, Alabama",0.4997
Pike County,Alabama,2020,81,"Pike County, Alabama",0.5343
Randolph County,Alabama,2020,83,"Randolph County, Alabama",0.4733
Russell County,Alabama,2020,81,"Russell County, Alabama",0.454
St. Clair County,Alabama,2020,39,"St. Clair County, Alabama",0.4068
Shelby County,Alabama,2020,5,"Shelby County, Alabama",0.4344
Sumter County,Alabama,2020,95,"Sumter County, Alabama",0.5469
Talladega County,Alabama,2020,82,"Talladega County, Alabama",0.4584
Tallapoosa County,Alabama,2020,81,"Tallapoosa County, Alabama",0.4617
Tuscaloosa County,Alabama,2020,47,"Tuscaloosa County, Alabama",0.463
Walker County,Alabama,2020,77,"Walker County, Alabama",0.4587
Washington County,Alabama,2020,83,"Washington County, Alabama",0.4684
Wilcox County,Alabama,2020,98,"Wilcox County, Alabama",0.5108
Winston County,Alabama,2020,83,"Winston County, Alabama",0.4517
Aleutians East Borough,Alaska,2020,74,"Aleutians East Borough, Alaska",0.3987
Aleutians West Census Area,Alaska,2020,48,"Aleutians West Census Area, Alaska",0.3628
Anchorage Municipality,Alaska,2020,6,"Anchorage Municipality, Alaska",0.4251
Bethel Census Area,Alaska,2020,100,"Bethel Census Area, Alaska",0.4446
Bristol Bay Borough,Alaska,2020,20,"Bristol Bay Borough, Alaska",0.3911
Denali Borough,Alaska,2020,13,"Denali Borough, Alaska",0.3631
Dillingham Census Area,Alaska,2020,94,"Dillingham Census Area, Alaska",0.4285
Fairbanks North Star Borough,Alaska,2020,10,"Fairbanks North Star Borough, Alaska",0.4061
Haines Borough,Alaska,2020,10,"Haines Borough, Alaska",0.3796
Hoonah-Angoon Census Area,Alaska,2020,52,"Hoonah-Angoon Census Area, Alaska",0.3914
Juneau City and Borough,Alaska,2020,4,"Juneau City and Borough, Alaska",0.3947
Kenai Peninsula Borough,Alaska,2020,21,"Kenai Peninsula Borough, Alaska",0.4322
Ketchikan Gateway Borough,Alaska,2020,15,"Ketchikan Gateway Borough, Alaska",0.4161
Kodiak Island Borough,Alaska,2020,22,"Kodiak Island Borough, Alaska",0.3869
Kusilvak Census Area,Alaska,2020,100,"Kusilvak Census Area, Alaska",0.4305
Lake and Peninsula Borough,Alaska,2020,96,"Lake and Peninsula Borough, Alaska",0.4318
Matanuska-Susitna Borough,Alaska,2020,13,"Matanuska-Susitna Borough, Alaska",0.4171
Nome Census Area,Alaska,2020,99,"Nome Census Area, Alaska",0.4294
North Slope Borough,Alaska,2020,93,"North Slope Borough, Alaska",0.4156
Northwest Arctic Borough,Alaska,2020,100,"Northwest Arctic Borough, Alaska",0.4375
Petersburg Borough,Alaska,2020,34,"Petersburg Borough, Alaska",0.4388
Prince of Wales-Hyder Census Area,Alaska,2020,67,"Prince of Wales-Hyder Census Area, Alaska",0.4139
Sitka City and Borough,Alaska,2020,10,"Sitka City and Borough, Alaska",0.4222
Skagway Municipality,Alaska,2020,8,"Skagway Municipality, Alaska",0.3224
Southeast Fairbanks Census Area,Alaska,2020,44,"Southeast Fairbanks Census Area, Alaska",0.3858
Valdez-Cordova Census Area,Alaska,2020,12,"Valdez-Cordova Census Area, Alaska",0.4226
Wrangell City and Borough,Alaska,2020,33,"Wrangell City and Borough, Alaska",0.4071
Yakutat City and Borough,Alaska,2020,33,"Yakutat City and Borough, Alaska",0.3498
Yukon-Koyukuk Census Area,Alaska,2020,99,"Yukon-Koyukuk Census Area, Alaska",0.4666
Apache County,Arizona,2020,99,"Apache County, Arizona",0.495
Cochise County,Arizona,2020,59,"Cochise County, Arizona",0.4404
Coconino County,Arizona,2020,46,"Coconino County, Arizona",0.4654
Gila County,Arizona,2020,77,"Gila County, Arizona",0.4451
Graham County,Arizona,2020,77,"Graham County, Arizona",0.4049
Greenlee County,Arizona,2020,75,"Greenlee County, Arizona",0.3908
La Paz County,Arizona,2020,93,"La Paz County, Arizona",0.4663
Maricopa County,Arizona,2020,30,"Maricopa County, Arizona",0.4666
Mohave County,Arizona,2020,69,"Mohave County, Arizona",0.4451
Navajo County,Arizona,2020,97,"Navajo County, Arizona",0.4751
Pima County,Arizona,2020,52,"Pima County, Arizona",0.4713
Pinal County,Arizona,2020,46,"Pinal County, Arizona",0.4235
Santa Cruz County,Arizona,2020,93,"Santa Cruz County, Arizona",0.4933
Yavapai County,Arizona,2020,30,"Yavapai County, Arizona",0.4462
Yuma County,Arizona,2020,93,"Yuma County, Arizona",0.4462
Arkansas County,Arkansas,2020,79,"Arkansas County, Arkansas",0.4963
Ashley County,Arkansas,2020,86,"Ashley County, Arkansas",0.476
Baxter County,Arkansas,2020,50,"Baxter County, Arkansas",0.4539
Benton County,Arkansas,2020,20,"Benton County, Arkansas",0.4549
Boone County,Arkansas,2020,62,"Boone County, Arkansas",0.4451
Bradley County,Arkansas,2020,93,"Bradley County, Arkansas",0.4603
Calhoun County,Arkansas,2020,70,"Calhoun County, Arkansas",0.4266
Carroll County,Arkansas,2020,66,"Carroll County, Arkansas",0.4572
Chicot County,Arkansas,2020,96,"Chicot County, Arkansas",0.5579
Clark County,Arkansas,2020,61,"Clark County, Arkansas",0.4509
Clay County,Arkansas,2020,91,"Clay County, Arkansas",0.4574
Cleburne County,Arkansas,2020,59,"Cleburne County, Arkansas",0.4582
Cleveland County,Arkansas,2020,68,"Cleveland County, Arkansas",0.4418
Columbia County,Arkansas,2020,86,"Columbia County, Arkansas",0.4974
Conway County,Arkansas,2020,72,"Conway County, Arkansas",0.4675
Craighead County,Arkansas,2020,65,"Craighead County, Arkansas",0.493
Crawford County,Arkansas,2020,62,"Crawford County, Arkansas",0.4456
Crittenden County,Arkansas,2020,88,"Crittenden County, Arkansas",0.4568
Cross County,Arkansas,2020,74,"Cross County, Arkansas",0.4752
Dallas County,Arkansas,2020,84,"Dallas County, Arkansas",0.4104
Desha County,Arkansas,2020,97,"Desha County, Arkansas",0.4642
Drew County,Arkansas,2020,73,"Drew County, Arkansas",0.4806
Faulkner County,Arkansas,2020,41,"Faulkner County, Arkansas",0.4615
Franklin County,Arkansas,2020,78,"Franklin County, Arkansas",0.448
Fulton County,Arkansas,2020,83,"Fulton County, Arkansas",0.4311
Garland County,Arkansas,2020,61,"Garland County, Arkansas",0.4881
Grant County,Arkansas,2020,41,"Grant County, Arkansas",0.4394
Greene County,Arkansas,2020,65,"Greene County, Arkansas",0.417
Hempstead County,Arkansas,2020,88,"Hempstead County, Arkansas",0.4257
Hot Spring County,Arkansas,2020,73,"Hot Spring County, Arkansas",0.4369
Howard County,Arkansas,2020,85,"Howard County, Arkansas",0.5284
Independence County,Arkansas,2020,68,"Independence County, Arkansas",0.45
Izard County,Arkansas,2020,68,"Izard County, Arkansas",0.4257
Jackson County,Arkansas,2020,92,"Jackson County, Arkansas",0.5031
Jefferson County,Arkansas,2020,85,"Jefferson County, Arkansas",0.4695
Johnson County,Arkansas,2020,86,"Johnson County, Arkansas",0.4427
Lafayette County,Arkansas,2020,88,"Lafayette County, Arkansas",0.5762
Lawrence County,Arkansas,2020,78,"Lawrence County, Arkansas",0.4358
Lee County,Arkansas,2020,98,"Lee County, Arkansas",0.4992
Lincoln County,Arkansas,2020,79,"Lincoln County, Arkansas",0.4452
Little River County,Arkansas,2020,72,"Little River County, Arkansas",0.4643
Logan County,Arkansas,2020,86,"Logan County, Arkansas",0.4486
Lonoke County,Arkansas,2020,41,"Lonoke County, Arkansas",0.4052
Madison County,Arkansas,2020,78,"Madison County, Arkansas",0.4787
Marion County,Arkansas,2020,77,"Marion County, Arkansas",0.4433
Miller County,Arkansas,2020,82,"Miller County, Arkansas",0.4662
Mississippi County,Arkansas,2020,95,"Mississippi County, Arkansas",0.4622
Monroe County,Arkansas,2020,96,"Monroe County, Arkansas",0.4699
Montgomery County,Arkansas,2020,82,"Montgomery County, Arkansas",0.4524
Nevada County,Arkansas,2020,91,"Nevada County, Arkansas",0.414
Newton County,Arkansas,2020,59,"Newton County, Arkansas",0.4312
Ouachita County,Arkansas,2020,89,"Ouachita County, Arkansas",0.477
Perry County,Arkansas,2020,68,"Perry County, Arkansas",0.4031
Phillips County,Arkansas,2020,98,"Phillips County, Arkansas",0.4925
Pike County,Arkansas,2020,77,"Pike County, Arkansas",0.4352
Poinsett County,Arkansas,2020,91,"Poinsett County, Arkansas",0.4161
Polk County,Arkansas,2020,89,"Polk County, Arkansas",0.4377
Pope County,Arkansas,2020,74,"Pope County, Arkansas",0.464
Prairie County,Arkansas,2020,78,"Prairie County, Arkansas",0.44
Pulaski County,Arkansas,2020,47,"Pulaski County, Arkansas",0.5025
Randolph County,Arkansas,2020,84,"Randolph County, Arkansas",0.4593
St. Francis County,Arkansas,2020,97,"St. Francis County, Arkansas",0.4729
Saline County,Arkansas,2020,15,"Saline County, Arkansas",0.3983
Scott County,Arkansas,2020,94,"Scott County, Arkansas",0.4325
Searcy County,Arkansas,2020,78,"Searcy County, Arkansas",0.4693
Sebastian County,Arkansas,2020,76,"Sebastian County, Arkansas",0.4781
Sevier County,Arkansas,2020,92,"Sevier County, Arkansas",0.4221
Sharp County,Arkansas,2020,85,"Sharp County, Arkansas",0.4758
Stone County,Arkansas,2020,87,"Stone County, Arkansas",0.4595
Union County,Arkansas,2020,72,"Union County, Arkansas",0.4739
Van Buren County,Arkansas,2020,77,"Van Buren County, Arkansas",0.445
Washington County,Arkansas,2020,59,"Washington County, Arkansas",0.4967
White County,Arkansas,2020,64,"White County, Arkansas",0.4731
Woodruff County,Arkansas,2020,90,"Woodruff County, Arkansas",0.4949
Yell County,Arkansas,2020,86,"Yell County, Arkansas",0.4501
Alameda County,California,2020,3,"Alameda County, California",0.4624
Alpine County,California,2020,28,"Alpine County, California",0.4967
Amador County,California,2020,12,"Amador County, California",0.4437
Butte County,California,2020,47,"Butte County, California",0.4893
Calaveras County,California,2020,8,"Calaveras County, California",0.4464
Colusa County,California,2020,80,"Colusa County, California",0.4982
Contra Costa County,California,2020,3,"Contra Costa County, California",0.4703
Del Norte County,California,2020,74,"Del Norte County, California",0.4857
El Dorado County,California,2020,3,"El Dorado County, California",0.4494
Fresno County,California,2020,90,"Fresno County, California",0.4785
Glenn County,California,2020,84,"Glenn County, California",0.4548
Humboldt County,California,2020,48,"Humboldt County, California",0.4754
Imperial County,California,2020,96,"Imperial County, California",0.4768
Inyo County,California,2020,22,"Inyo County, California",0.424
Kern County,California,2020,90,"Kern County, California",0.4645
Kings County,California,2020,88,"Kings County, California",0.4346
Lake County,California,2020,69,"Lake County, California",0.4796
Lassen County,California,2020,42,"Lassen County, California",0.4231
Los Angeles County,California,2020,40,"Los Angeles County, California",0.5022
Madera County,California,2020,87,"Madera County, California",0.4408
Marin County,California,2020,1,"Marin County, California",0.5158
Mariposa County,California,2020,42,"Mariposa County, California",0.4349
Mendocino County,California,2020,52,"Mendocino County, California",0.4736
Merced County,California,2020,96,"Merced County, California",0.4708
Modoc County,California,2020,54,"Modoc County, California",0.4113
Mono County,California,2020,7,"Mono County, California",0.3701
Monterey County,California,2020,59,"Monterey County, California",0.4619
Napa County,California,2020,5,"Napa County, California",0.4719
Nevada County,California,2020,6,"Nevada County, California",0.4634
Orange County,California,2020,5,"Orange County, California",0.47
Placer County,California,2020,2,"Placer County, California",0.4474
Plumas County,California,2020,18,"Plumas County, California",0.4549
Riverside County,California,2020,37,"Riverside County, California",0.4547
Sacramento County,California,2020,27,"Sacramento County, California",0.4583
San Benito County,California,2020,13,"San Benito County, California",0.3989
San Bernardino County,California,2020,59,"San Bernardino County, California",0.441
San Diego County,California,2020,7,"San Diego County, California",0.463
San Francisco County,California,2020,2,"San Francisco County, California",0.5128
San Joaquin County,California,2020,60,"San Joaquin County, California",0.4546
San Luis Obispo County,California,2020,5,"San Luis Obispo County, California",0.4538
San Mateo County,California,2020,1,"San Mateo County, California",0.4852
Santa Barbara County,California,2020,23,"Santa Barbara County, California",0.4798
Santa Clara County,California,2020,1,"Santa Clara County, California",0.4652
Santa Cruz County,California,2020,5,"Santa Cruz County, California",0.4826
Shasta County,California,2020,37,"Shasta County, California",0.4603
Sierra County,California,2020,17,"Sierra County, California",0.4269
Siskiyou County,California,2020,60,"Siskiyou County, California",0.488
Solano County,California,2020,10,"Solano County, California",0.4231
Sonoma County,California,2020,5,"Sonoma County, California",0.4578
Stanislaus County,California,2020,67,"Stanislaus County, California",0.4451
Sutter County,California,2020,69,"Sutter County, California",0.4466
Tehama County,California,2020,76,"Tehama County, California",0.4585
Trinity County,California,2020,66,"Trinity County, California",0.4821
Tulare County,California,2020,96,"Tulare County, California",0.4755
Tuolumne County,California,2020,22,"Tuolumne County, California",0.4881
Ventura County,California,2020,5,"Ventura County, California",0.4476
Yolo County,California,2020,23,"Yolo County, California",0.4931
Yuba County,California,2020,70,"Yuba County, California",0.4276
Adams County,Colorado,2020,24,"Adams County, Colorado",0.4075
Alamosa County,Colorado,2020,85,"Alamosa County, Colorado",0.4821
Arapahoe County,Colorado,2020,6,"Arapahoe County, Colorado",0.4589
Archuleta County,Colorado,2020,18,"Archuleta County, Colorado",0.4486
Baca County,Colorado,2020,71,"Baca County, Colorado",0.4396
Bent County,Colorado,2020,87,"Bent County, Colorado",0.4395
Boulder County,Colorado,2020,3,"Boulder County, Colorado",0.4802
Broomfield County,Colorado,2020,1,"Broomfield County, Colorado",0.4303
Chaffee County,Colorado,2020,14,"Chaffee County, Colorado",0.4266
Cheyenne County,Colorado,2020,29,"Cheyenne County, Colorado",0.4233
Clear Creek County,Colorado,2020,4,"Clear Creek County, Colorado",0.4127
Conejos County,Colorado,2020,88,"Conejos County, Colorado",0.4614
Costilla County,Colorado,2020,98,"Costilla County, Colorado",0.5076
Crowley County,Colorado,2020,84,"Crowley County, Colorado",0.4185
Custer County,Colorado,2020,35,"Custer County, Colorado",0.4389
Delta County,Colorado,2020,53,"Delta County, Colorado",0.4669
Denver County,Colorado,2020,17,"Denver County, Colorado",0.4958
Dolores County,Colorado,2020,44,"Dolores County, Colorado",0.4295
Douglas County,Colorado,2020,1,"Douglas County, Colorado",0.3989
Eagle County,Colorado,2020,3,"Eagle County, Colorado",0.4335
Elbert County,Colorado,2020,1,"Elbert County, Colorado",0.4049
El Paso County,Colorado,2020,11,"El Paso County, Colorado",0.434
Fremont County,Colorado,2020,42,"Fremont County, Colorado",0.447
Garfield County,Colorado,2020,11,"Garfield County, Colorado",0.4008
Gilpin County,Colorado,2020,2,"Gilpin County, Colorado",0.4241
Grand County,Colorado,2020,10,"Grand County, Colorado",0.4019
Gunnison County,Colorado,2020,14,"Gunnison County, Colorado",0.4182
Hinsdale County,Colorado,2020,21,"Hinsdale County, Colorado",0.4769
Huerfano County,Colorado,2020,59,"Huerfano County, Colorado",0.4314
Jackson County,Colorado,2020,33,"Jackson County, Colorado",0.3796
Jefferson County,Colorado,2020,3,"Jefferson County, Colorado",0.4337
Kiowa County,Colorado,2020,45,"Kiowa County, Colorado",0.4383
Kit Carson County,Colorado,2020,42,"Kit Carson County, Colorado",0.4691
Lake County,Colorado,2020,47,"Lake County, Colorado",0.4349
La Plata County,Colorado,2020,5,"La Plata County, Colorado",0.4584
Larimer County,Colorado,2020,6,"Larimer County, Colorado",0.4497
Las Animas County,Colorado,2020,68,"Las Animas County, Colorado",0.4616
Lincoln County,Colorado,2020,27,"Lincoln County, Colorado",0.4364
Logan County,Colorado,2020,57,"Logan County, Colorado",0.4365
Mesa County,Colorado,2020,34,"Mesa County, Colorado",0.4413
Mineral County,Colorado,2020,6,"Mineral County, Colorado",0.3541
Moffat County,Colorado,2020,47,"Moffat County, Colorado",0.4298
Montezuma County,Colorado,2020,48,"Montezuma County, Colorado",0.4247
Montrose County,Colorado,2020,45,"Montrose County, Colorado",0.4234
Morgan County,Colorado,2020,67,"Morgan County, Colorado",0.4014
Otero County,Colorado,2020,91,"Otero County, Colorado",0.477
Ouray County,Colorado,2020,6,"Ouray County, Colorado",0.4413
Park County,Colorado,2020,3,"Park County, Colorado",0.4082
Phillips County,Colorado,2020,35,"Phillips County, Colorado",0.4573
Pitkin County,Colorado,2020,2,"Pitkin County, Colorado",0.5466
Prowers County,Colorado,2020,81,"Prowers County, Colorado",0.4334
Pueblo County,Colorado,2020,62,"Pueblo County, Colorado",0.4572
Rio Blanco County,Colorado,2020,28,"Rio Blanco County, Colorado",0.417
Rio Grande County,Colorado,2020,84,"Rio Grande County, Colorado",0.4688
Routt County,Colorado,2020,3,"Routt County, Colorado",0.453
Saguache County,Colorado,2020,89,"Saguache County, Colorado",0.5097
San Juan County,Colorado,2020,20,"San Juan County, Colorado",0.4197
San Miguel County,Colorado,2020,5,"San Miguel County, Colorado",0.5273
Sedgwick County,Colorado,2020,56,"Sedgwick County, Colorado",0.4462
Summit County,Colorado,2020,4,"Summit County, Colorado",0.4098
Teller County,Colorado,2020,7,"Teller County, Colorado",0.4104
Washington County,Colorado,2020,34,"Washington County, Colorado",0.4135
Weld County,Colorado,2020,14,"Weld County, Colorado",0.4156
Yuma County,Colorado,2020,62,"Yuma County, Colorado",0.4244
Fairfield County,Connecticut,2020,3,"Fairfield County, Connecticut",0.5432
Hartford County,Connecticut,2020,11,"Hartford County, Connecticut",0.4716
Litchfield County,Connecticut,2020,4,"Litchfield County, Connecticut",0.4479
Middlesex County,Connecticut,2020,3,"Middlesex County, Connecticut",0.4427
New Haven County,Connecticut,2020,13,"New Haven County, Connecticut",0.4688
New London County,Connecticut,2020,9,"New London County, Connecticut",0.4439
Tolland County,Connecticut,2020,3,"Tolland County, Connecticut",0.4315
Windham County,Connecticut,2020,18,"Windham County, Connecticut",0.4151
Kent County,Delaware,2020,29,"Kent County, Delaware",0.4302
New Castle County,Delaware,2020,9,"New Castle County, Delaware",0.4586
Sussex County,Delaware,2020,16,"Sussex County, Delaware",0.4496
District of Columbia,District of Columbia,2020,10,"District of Columbia, District of Columbia",0.5283
Alachua County,Florida,2020,36,"Alachua County, Florida",0.5138
Baker County,Florida,2020,47,"Baker County, Florida",0.4414
Bay County,Florida,2020,38,"Bay County, Florida",0.4509
Bradford County,Florida,2020,76,"Bradford County, Florida",0.4403
Brevard County,Florida,2020,20,"Brevard County, Florida",0.455
Broward County,Florida,2020,25,"Broward County, Florida",0.4861
Calhoun County,Florida,2020,75,"Calhoun County, Florida",0.4523
Charlotte County,Florida,2020,25,"Charlotte County, Florida",0.4542
Citrus County,Florida,2020,53,"Citrus County, Florida",0.4611
Clay County,Florida,2020,17,"Clay County, Florida",0.4191
Collier County,Florida,2020,16,"Collier County, Florida",0.5223
Columbia County,Florida,2020,58,"Columbia County, Florida",0.4695
DeSoto County,Florida,2020,97,"DeSoto County, Florida",0.4526
Dixie County,Florida,2020,92,"Dixie County, Florida",0.4751
Duval County,Florida,2020,40,"Duval County, Florida",0.4728
Escambia County,Florida,2020,32,"Escambia County, Florida",0.4383
Flagler County,Florida,2020,18,"Flagler County, Florida",0.424
Franklin County,Florida,2020,74,"Franklin County, Florida",0.5018
Gadsden County,Florida,2020,85,"Gadsden County, Florida",0.4394
Gilchrist County,Florida,2020,67,"Gilchrist County, Florida",0.4217
Glades County,Florida,2020,84,"Glades County, Florida",0.4324
Gulf County,Florida,2020,50,"Gulf County, Florida",0.4149
Hamilton County,Florida,2020,97,"Hamilton County, Florida",0.4713
Hardee County,Florida,2020,96,"Hardee County, Florida",0.4817
Hendry County,Florida,2020,99,"Hendry County, Florida",0.4736
Hernando County,Florida,2020,42,"Hernando County, Florida",0.428
Highlands County,Florida,2020,75,"Highlands County, Florida",0.4803
Hillsborough County,Florida,2020,35,"Hillsborough County, Florida",0.4799
Holmes County,Florida,2020,90,"Holmes County, Florida",0.4474
Indian River County,Florida,2020,21,"Indian River County, Florida",0.5283
Jackson County,Florida,2020,83,"Jackson County, Florida",0.4463
Jefferson County,Florida,2020,53,"Jefferson County, Florida",0.4545
Lafayette County,Florida,2020,94,"Lafayette County, Florida",0.475
Lake County,Florida,2020,30,"Lake County, Florida",0.4272
Lee County,Florida,2020,31,"Lee County, Florida",0.4805
Leon County,Florida,2020,25,"Leon County, Florida",0.4894
Levy County,Florida,2020,77,"Levy County, Florida",0.4544
Liberty County,Florida,2020,81,"Liberty County, Florida",0.4288
Madison County,Florida,2020,92,"Madison County, Florida",0.4998
Manatee County,Florida,2020,23,"Manatee County, Florida",0.4693
Marion County,Florida,2020,54,"Marion County, Florida",0.4481
Martin County,Florida,2020,11,"Martin County, Florida",0.5273
Miami-Dade County,Florida,2020,66,"Miami-Dade County, Florida",0.5249
Monroe County,Florida,2020,8,"Monroe County, Florida",0.506
Nassau County,Florida,2020,11,"Nassau County, Florida",0.4544
Okaloosa County,Florida,2020,16,"Okaloosa County, Florida",0.4303
Okeechobee County,Florida,2020,90,"Okeechobee County, Florida",0.4429
Orange County,Florida,2020,38,"Orange County, Florida",0.4868
Osceola County,Florida,2020,55,"Osceola County, Florida",0.4283
Palm Beach County,Florida,2020,19,"Palm Beach County, Florida",0.5221
Pasco County,Florida,2020,30,"Pasco County, Florida",0.4517
Pinellas County,Florida,2020,23,"Pinellas County, Florida",0.4857
Polk County,Florida,2020,61,"Polk County, Florida",0.4423
Putnam County,Florida,2020,89,"Putnam County, Florida",0.4599
St. Johns County,Florida,2020,4,"St. Johns County, Florida",0.4655
St. Lucie County,Florida,2020,43,"St. Lucie County, Florida",0.4475
Santa Rosa County,Florida,2020,12,"Santa Rosa County, Florida",0.4216
Sarasota County,Florida,2020,9,"Sarasota County, Florida",0.485
Seminole County,Florida,2020,9,"Seminole County, Florida",0.46
Sumter County,Florida,2020,11,"Sumter County, Florida",0.4278
Suwannee County,Florida,2020,81,"Suwannee County, Florida",0.4715
Taylor County,Florida,2020,87,"Taylor County, Florida",0.4179
Union County,Florida,2020,87,"Union County, Florida",0.4736
Volusia County,Florida,2020,35,"Volusia County, Florida",0.4617
Wakulla County,Florida,2020,23,"Wakulla County, Florida",0.3787
Walton County,Florida,2020,28,"Walton County, Florida",0.4993
Washington County,Florida,2020,84,"Washington County, Florida",0.4401
Appling County,Georgia,2020,93,"Appling County, Georgia",0.4446
Atkinson County,Georgia,2020,98,"Atkinson County, Georgia",0.4765
Bacon County,Georgia,2020,89,"Bacon County, Georgia",0.4588
Baker County,Georgia,2020,79,"Baker County, Georgia",0.4744
Baldwin County,Georgia,2020,84,"Baldwin County, Georgia",0.4897
Banks County,Georgia,2020,74,"Banks County, Georgia",0.4035
Barrow County,Georgia,2020,44,"Barrow County, Georgia",0.3943
Bartow County,Georgia,2020,53,"Bartow County, Georgia",0.4303
Ben Hill County,Georgia,2020,96,"Ben Hill County, Georgia",0.4607
Berrien County,Georgia,2020,96,"Berrien County, Georgia",0.4471
Bibb County,Georgia,2020,82,"Bibb County, Georgia",0.5221
Bleckley County,Georgia,2020,74,"Bleckley County, Georgia",0.445
Brantley County,Georgia,2020,86,"Brantley County, Georgia",0.442
Brooks County,Georgia,2020,88,"Brooks County, Georgia",0.5321
Bryan County,Georgia,2020,15,"Bryan County, Georgia",0.4416
Bulloch County,Georgia,2020,78,"Bulloch County, Georgia",0.4773
Burke County,Georgia,2020,91,"Burke County, Georgia",0.4486
Butts County,Georgia,2020,73,"Butts County, Georgia",0.4747
Calhoun County,Georgia,2020,98,"Calhoun County, Georgia",0.4947
Camden County,Georgia,2020,40,"Camden County, Georgia",0.4366
Candler County,Georgia,2020,98,"Candler County, Georgia",0.5137
Carroll County,Georgia,2020,65,"Carroll County, Georgia",0.4466
Catoosa County,Georgia,2020,23,"Catoosa County, Georgia",0.4156
Charlton County,Georgia,2020,90,"Charlton County, Georgia",0.436
Chatham County,Georgia,2020,43,"Chatham County, Georgia",0.4804
Chattahoochee County,Georgia,2020,72,"Chattahoochee County, Georgia",0.4753
Chattooga County,Georgia,2020,95,"Chattooga County, Georgia",0.4602
Cherokee County,Georgia,2020,5,"Cherokee County, Georgia",0.411
Clarke County,Georgia,2020,81,"Clarke County, Georgia",0.5271
Clay County,Georgia,2020,99,"Clay County, Georgia",0.493
Clayton County,Georgia,2020,82,"Clayton County, Georgia",0.4175
Clinch County,Georgia,2020,100,"Clinch County, Georgia",0.5444
Cobb County,Georgia,2020,7,"Cobb County, Georgia",0.4518
Coffee County,Georgia,2020,92,"Coffee County, Georgia",0.5001
